[LOG] System::create                           : Header version = 1.10.12. Current version = 1.10.12.
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_712.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_712.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_713.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_713.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_714.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_714.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_715.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_715.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_716.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_716.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_717.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_717.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_718.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_718.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_719.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_719.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_720.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_720.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_721.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_721.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_722.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_722.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_723.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_723.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_724.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_724.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_725.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_725.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_726.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_726.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_727.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_727.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_728.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_728.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_729.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_729.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_730.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_730.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_731.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_731.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_732.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_732.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_733.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_733.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_734.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_734.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_735.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_735.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_736.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_736.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_737.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_737.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_738.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_738.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_739.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_739.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_740.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_740.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_741.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_741.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_742.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_742.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_743.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_743.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_744.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_744.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_745.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_745.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_746.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_746.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_747.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_747.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_748.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_748.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_749.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_749.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_750.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_750.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_751.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_751.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_752.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_752.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_753.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_753.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_754.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_754.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_755.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_755.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_756.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_756.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_757.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_757.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_758.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_758.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_759.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_759.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_760.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_760.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_761.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_761.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_762.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_762.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_763.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_763.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_764.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_764.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_765.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_765.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_766.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_766.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_767.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_767.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_768.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_768.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
